R	53.3831	-6.4242	P752	01 Oct 2023	P752\n19:15 - Maynooth to Dublin Connolly (7 mins late)\nArrived Clonsilla next stop Coolmine	Southbound
R	53.3891	-6.07401	E220	01 Oct 2023	E220\n19:35 - Howth to Bray (1 mins late)\nDeparted Howth next stop Sutton	Southbound
R	53.4169	-6.1512	D820	01 Oct 2023	D820\n19:20 - Dublin Connolly to Drogheda (1 mins late)\nDeparted Portmarnock next stop Malahide	Northbound
R	53.4169	-6.1512	P722	01 Oct 2023	P722\n18:55 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Portmarnock next stop Clongriffin	Southbound
R	53.4273	-7.93683	A807	01 Oct 2023	A807\n17:50 - Westport to Dublin Heuston (-4 mins late)\nArrived Athlone next stop Tullamore	To Dublin Heuston
R	53.712	-6.33538	A150	01 Oct 2023	A150\n19:00 - Dublin Connolly to Belfast (3 mins late)\nArrived Drogheda next stop Dundalk	Northbound
R	53.712	-6.33538	B122	01 Oct 2023	B122\n18:50 - Dublin Connolly to Dundalk (4 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9383	-8.10657	A908	01 Oct 2023	A908\n17:10 - Dublin Connolly to Sligo (0 mins late)\nDeparted Carrick on Shannon next stop Boyle	Northbound
R	54.0887	-8.52088	A911	01 Oct 2023	A911\n19:00 - Sligo to Dublin Connolly (3 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.1855	-6.80807	D204	01 Oct 2023	D204\n18:55 - Dublin Heuston to Newbridge(0 mins late)\nTERMINATED Newbridge at 19:36	To Newbridge
T	53.378	-6.58993	D920	01 Oct 2023	D920\n18:47 - Dublin Connolly to Maynooth(4 mins late)\nTERMINATED Maynooth at 19:35	Northbound
T	53.4349	-6.46898	D380	01 Oct 2023	D380\n19:18 - Clonsilla to M3 Parkway(5 mins late)\nTERMINATED M3 Parkway at 19:35	Northbound
T	53.4509	-6.15649	E810	01 Oct 2023	E810\n18:20 - Bray to Malahide(8 mins late)\nTERMINATED Malahide at 19:35	Northbound
